Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s):,"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,2. Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,"3. In classes you have taken at the University, how effective or ineffective were teaching assistants in facilitating your understanding of course materials?","4. If the 2020 U.S. Presidential Election were held today, which candidate would you vote for?","5. In the past year at Brown, which types of parties have you attended? (Select all that apply)",6. What is your preferred method of notetaking in class?,"7. During a typical class, about how long do you pay full attention to the lecture?","8. How often do you meet with an academic advisor? (e.g. department advisor, Meiklejohn peer advisor, first-year advisor, sophomore advisor, etc.)",9. Do you approve or disapprove of the UniversityÕs requirement that all undergraduates live in on-campus housing for their first six semesters (with the exception of the off campus permission lottery for juniors)?,10. Which of the following dating apps have you used? (Select all that apply),"11. How often do you use barrier methods (e.g., condoms, dental dams)  to protect against Sexually Transmitted Infections (STIs) during oral and/or penetrative sexual intercourse?","12. How often do you use barrier methods (e.g. condoms, dental dams) and/or contraceptives (e.g. birth control pills, IUDs)  to prevent pregnancy during vaginal sexual intercourse?"
Female,Junior,"Grants, covering some costs",No,Heterosexual,"White, Hispanic","Life sciences, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"Dormitory party, Off-campus house party, Varsity sports house, Other",Handwriting on paper,Half of the class,Once per semester,Strongly disapprove,I do not use dating apps,Always,Always
Male,Junior,"Grants, covering some costs",No,Heterosexual,Black,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,Student organization event,Handwriting on paper,The entire class,A few times per week,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,No,Off campus,No opinion,No opinion,Somewhat effective,I do not plan on voting,"Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party",Handwriting on a tablet (e.g. iPad with stylus),Half of the class,Once per semester,Somewhat disapprove,"Bumble, Tinder",Always,Always
Male,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,I am ineligible to vote,I do not attend parties,Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math and CS)",No,Yes,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,The entire class,Once per semester,Somewhat approve,"Bumble, Hinge, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"Student organization event, Dormitory party",Handwriting on paper,More than half of the class,A few times per month,Somewhat approve,I do not use dating apps,Always,Always
Female,Junior,None,No,Heterosexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No,Off campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event",Handwriting on paper,More than half of the class,Once per semester,Strongly disapprove,"Bumble, Tinder",Always,Always
Male,Senior,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,Somewhat approve,Strongly approve,Extremely effective,Bernie Sanders,"Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,More than half of the class,A few times per week,Strongly disapprove,"Bumble, Tinder",Sometimes,Sometimes
Female,Junior,"Grants, covering some costs",Yes,Gay,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per semester,Strongly approve,I do not use dating apps,Never,Never
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Extremely effective,I am unsure,I do not attend parties,Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,Once per year,Somewhat approve,Tinder,Most of the time,Always
Female,Junior,"Grants, covering some costs",No,Other,"White, Asian",Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party, I do not attend parties",Handwriting on paper,The entire class,Once per semester,Strongly disapprove,Tinder,Most of the time,Always
Female,First-year,"Grants, covering some costs",No,Bisexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,Somewhat approve,Extremely effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,Tinder,Rarely,Always
Male,Senior,None,No,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,Donald Trump,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Graduate Center Bar, Other",I do not usually take notes,The entire class,Never,Strongly approve,"Bumble, Tinder",Never,Never
Male,Senior,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,Off campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"Dormitory party, Off-campus house party, Graduate Center Bar",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per year,Strongly disapprove,"Bumble, Hinge, Tinder",Always,Always
Female,Junior,"Grants, covering all costs",No,Heterosexual,White,Business (BEO or econ),No,Yes,International,No,On campus,Strongly disapprove,Somewhat approve,Somewhat effective,I am ineligible to vote,"Off-campus/unrecognized Greek Life, Off-campus house party, Graduate Center Bar",I do not usually take notes,Half of the class,Once per year,Strongly disapprove,"Bumble, Tinder",Always,Always
Female,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,Joe Biden,"Student organization event, Dormitory party, Providence/downtown bars or clubs, Graduate Center Bar",Typing on a computer,More than half of the class,Once per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering some costs",No,Bisexual,Hispanic,Humanities/arts,No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,Off-campus house party,Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,First-year,"Grants, covering some costs",No,Heterosexual,White,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat ineffective,Donald Trump,University-recognized Greek Life,Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,"Dormitory party, Off-campus house party",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,Strongly approve,Somewhat effective,I am unsure,"Student organization event, Dormitory party, Off-campus house party",I do not have a preference,More than half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar, Whiskey Republic",Handwriting on paper,More than half of the class,Once per year,Somewhat disapprove,"Bumble, Tinder",Never,Most of the time
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Other,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Senior,None,No,Bisexual,White,"Life sciences, Physical sciences (incl. math and CS)",No,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Typing on a computer,More than half of the class,A few times per semester,Strongly approve,Hinge,Always,Always
Female,Senior,None,No,Bisexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar, Whiskey Republic",Handwriting on paper,More than half of the class,A few times per semester,Strongly approve,Tinder,Most of the time,Always
Male,Senior,"Grants, covering some costs",No,Heterosexual,Other,Physical sciences (incl. math and CS),Yes,No,International,No,On campus,Somewhat approve,Strongly disapprove,Somewhat effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house, Graduate Center Bar",I do not usually take notes,Less than half of the class,Once per year,Somewhat approve,I do not use dating apps,Most of the time,Most of the time
Female,Junior,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,Yes,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Donald Trump,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Providence/downtown bars or clubs, Graduate Center Bar",Typing on a computer,More than half of the class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,"Grants, covering all costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,Yes,On campus,No opinion,No opinion,Extremely ineffective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per month,No opinion,"Bumble, Hinge, Tinder, Other",Never,Rarely
Female,First-year,"Grants, covering some costs",Yes,Gay,White,"Life sciences, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Joe Biden,"Dormitory party, Off-campus house party, Varsity sports house, Whiskey Republic",Handwriting on paper,Half of the class,A few times per semester,Somewhat disapprove,Tinder,Never,Never
